feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.2942..L.lysine.biosynthesis.III	season	rainy	62.9048	1.45263865429059	38	19	5.40542673274991e-32	4.70272125749242e-29
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	season	rainy	-43.3475210526316	1.26385876778367	38	29	1.5735528911321e-28	6.84495507642463e-26
TRPSYN.PWY..L.tryptophan.biosynthesis	season	rainy	-38.244685368421	1.38167353989858	38	29	2.19722807841945e-25	6.37196142741642e-23
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast	season	rainy	4.39671842105263	0.243076614712445	38	24	2.44280696711973e-19	5.31310515348542e-17
PWY.7255..ergothioneine.biosynthesis.I..bacteria.	season	rainy	8.58008315789473	0.499998451120172	38	19	1.28572320512185e-18	2.23715837691203e-16
PWY.7185..UTP.and.CTP.dephosphorylation.I	season	rainy	-2.71558578947368	0.386137530532982	38	17	3.46700071277835e-08	5.02715103352861e-06
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	strategy	DT	-6.113037	0.884510777915489	38	38	4.97547019588467e-08	5.49828667776595e-06
PWY.7254..TCA.cycle.VII..acetate.producers.	strategy	DT	-9.5671061111111	1.38536782524853	38	38	5.05589579564685e-08	5.49828667776595e-06
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation	strategy	DT	-6.67747777777778	1.01189116659055	38	38	1.26569277753101e-07	1.22350301827997e-05
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	strategy	DT	-23.7815322222222	3.79579353389355	38	38	3.45920180657062e-07	3.00950557171644e-05
PWY.5941..glycogen.degradation.II	strategy	DT	-23.9392222222222	4.02965874640377	38	38	9.2407688243627e-07	7.22719465763718e-05
PWY.7345..superpathway.of.anaerobic.sucrose.degradation	strategy	DT	-5.38724322222222	0.910657857064909	38	37	9.96854435536163e-07	7.22719465763718e-05
PWY.7731..superpathway.of.photosynthetic.hydrogen.production	season	rainy	3.03873831578947	0.516393663985405	38	38	1.09596315783301e-06	7.3345226716517e-05
PWY.7238..sucrose.biosynthesis.II	strategy	DT	-23.0116905555556	3.93584759689185	38	38	1.22938829430175e-06	7.63977011458942e-05
PWY.5690..TCA.cycle.II..plants.and.fungi.	season	rainy	-6.04936315789474	1.04118509786261	38	38	1.37396212151246e-06	7.96898030477227e-05
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	season	rainy	8.83855789473685	1.65083718964538	38	38	5.4907281427227e-06	0.000298558342760547
PWY66.409..superpathway.of.purine.nucleotide.salvage	strategy	DT	-7.73427055555554	1.52155172899686	38	38	1.24774954950481e-05	0.000638554181217167
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis	strategy	DT	-3.99728088888889	0.789464199069162	38	38	1.32500938388697e-05	0.000640421202212038
PWY.7118..chitin.deacetylation	strategy	DT	-7.27355888888888	1.45051504182413	38	38	1.53568506935767e-05	0.000669867725646116
TCA..TCA.cycle.I..prokaryotic.	strategy	DT	-12.5532488888889	2.50386250678762	38	38	1.53992580608303e-05	0.000669867725646116
X12DICHLORETHDEG.PWY..1.2.dichloroethane.degradation	strategy	DT	-1.24478830555555	0.250554866909494	38	38	1.76634798656509e-05	0.00073177273729125
PWY.6803..phosphatidylcholine.acyl.editing	strategy	DT	-1.43634621111111	0.298209917989923	38	21	2.78869790625856e-05	0.00110280326292952
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.	season	rainy	-2.06859315789474	0.437442421868383	38	38	3.62929727074702e-05	0.00121441870213458
PWY.3781..aerobic.respiration.I..cytochrome.c.	season	rainy	8.19583263157895	1.72607108306904	38	38	3.42384346616006e-05	0.00121441870213458
PWY.6549..L.glutamine.biosynthesis.III	season	rainy	-4.32054736842105	0.907154562870478	38	38	3.27813687854289e-05	0.00121441870213458
PWY.8073..lipid.IVA.biosynthesis..P..putida.	season	rainy	-2.06859315789474	0.437442421868383	38	38	3.62929727074702e-05	0.00121441870213458
THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I	season	rainy	-2.94264052631579	0.62397480191069	38	12	3.77215484366532e-05	0.00121547211629216
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	strategy	DT	-3.180113	0.678360417657932	38	38	4.10257716908743e-05	0.00127472933468074
CALVIN.PWY..Calvin.Benson.Bassham.cycle	season	rainy	6.24894210526316	1.36938351363506	38	38	5.95398342930375e-05	0.00161873924484196
GLYOXYLATE.BYPASS..glyoxylate.cycle	season	rainy	-6.12157368421053	1.33536162071476	38	38	5.59441714391698e-05	0.00161873924484196
PWY.6992..1.5.anhydrofructose.degradation	strategy	DT	-1.61001494444444	0.350573736531717	38	38	5.45740167022615e-05	0.00161873924484196
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	strategy	DT	-8.68040944444444	1.90158004548698	38	38	5.9271397934263e-05	0.00161873924484196
CHLOROPHYLL.SYN..3.8.divinyl.chlorophyllide.a.biosynthesis.I..aerobic..light.dependent.	season	rainy	1.01561257894737	0.22491357776678	38	17	6.86427092972583e-05	0.00180967142692772
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	strategy	DT	-14.1756955555555	3.15938546323757	38	38	7.47632472023924e-05	0.00185840071617375
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	strategy	DT	-1.44003504444444	0.320774432724528	38	28	7.4233313885986e-05	0.00185840071617375
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	strategy	DT	-4.05856777777777	0.922747547058577	38	38	9.72112730561262e-05	0.00234927243218972
PWY0.1533..methylphosphonate.degradation.I	season	rainy	0.380004578947369	0.0867007034407608	38	19	0.000101745890559803	0.00239240337262239
PWY.6946..cholesterol.degradation.to.androstenedione.II..cholesterol.dehydrogenase.	season	rainy	0.764943631578947	0.175325810841622	38	29	0.000107933280885233	0.00247110406237244
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	season	rainy	7.09413157894737	1.64503466955106	38	38	0.000125296814765238	0.00269436593658218
P562.PWY..myo.inositol.degradation.I	season	rainy	0.306832526315789	0.071059699571125	38	12	0.000123280083652673	0.00269436593658218
PANTO.PWY..phosphopantothenate.biosynthesis.I	season	rainy	8.92303684210527	2.07130235383772	38	38	0.000126975865976861	0.00269436593658218
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	season	rainy	7.52611052631579	1.77141331256359	38	38	0.000151180816691927	0.00313115958407477
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	season	rainy	-0.834601421052631	0.196915615159051	38	12	0.000155813883928442	0.00313115958407477
PWY.7090..UDP.2.3.diacetamido.2.3.dideoxy..alpha..D.mannuronate.biosynthesis	season	rainy	0.526831105263158	0.124462332203207	38	18	0.00015835749620608	0.00313115958407477
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	strategy	DT	2.54340538888889	0.604655500632138	38	38	0.000171151022413915	0.00330891976666902
GLUDEG.I.PWY..GABA.shunt	strategy	DT	1.97080066666667	0.471180454119785	38	38	0.000183445935291694	0.00346952095008204
PWY.101..photosynthesis.light.reactions	season	rainy	4.17099215789474	1.00248420487599	38	38	0.000195657964383002	0.00362175380879174
PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	strategy	DT	-8.43860722222222	2.03189856341893	38	38	0.000200047392450659	0.00362585898816819
HISDEG.PWY..L.histidine.degradation.I	strategy	DT	-6.11378555555555	1.48225284589127	38	38	0.000217345857151428	0.00385899787187229
PWY.6588..pyruvate.fermentation.to.acetone	strategy	DT	-1.51084659444444	0.371157486023546	38	29	0.000254373245195559	0.00442609446640272
LIPASYN.PWY..phospholipases	strategy	DT	-3.36087722222222	0.827981825429954	38	7	0.000263028933028572	0.00445148898233025
PWY.6527..stachyose.degradation	strategy	DT	-3.94628444444444	0.976279908076202	38	37	0.000276299316144636	0.00445148898233025
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.	season	rainy	2.73294736842105	0.675859943950381	38	38	0.000275103866844527	0.00445148898233025
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.	season	rainy	2.73294736842105	0.675859943950381	38	38	0.000275103866844527	0.00445148898233025
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	season	rainy	5.81161631578947	1.44313725877902	38	38	0.0002886620716042	0.00456610913264826
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	season	rainy	6.70148578947369	1.67693859179675	38	38	0.000315595973463986	0.00490300887345835
PWY.6901..superpathway.of.glucose.and.xylose.degradation	strategy	DT	-5.71974722222222	1.43569114980719	38	38	0.000327015175327181	0.00499128425499382
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	strategy	DT	-6.56473333333333	1.6531284290404	38	38	0.000339401671928399	0.00509102507892599
PWY.6270..isoprene.biosynthesis.I	season	rainy	7.24004210526316	1.83926345196675	38	38	0.000375136919414317	0.00553167999814332
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	strategy	DT	3.40699333333333	0.887469292810331	38	38	0.000496071203584727	0.0067757862727621
LIPASYN.PWY..phospholipases	season	rainy	3.18398894736842	0.826834240920815	38	7	0.00047958186201635	0.0067757862727621
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	season	rainy	4.95356315789474	1.28962640713137	38	38	0.000493122737544688	0.0067757862727621
PHOTOALL.PWY..oxygenic.photosynthesis	season	rainy	1.35842415789474	0.354616116643414	38	33	0.000507991096432279	0.0067757862727621
PWY.5659..GDP.mannose.biosynthesis	strategy	DT	2.21085372222222	0.576415486092006	38	38	0.000501026354964731	0.0067757862727621
PWY.6700..queuosine.biosynthesis.I..de.novo.	season	rainy	6.82585263157895	1.78381147544456	38	38	0.000514025165519884	0.0067757862727621
REDCITCYC..TCA.cycle.VI..Helicobacter.	season	rainy	-3.23974210526316	0.845904110980321	38	38	0.000509113732194818	0.0067757862727621
PWY66.389..phytol.degradation	strategy	DT	-3.68949111111111	0.969843519730282	38	38	0.000547858188115849	0.00711397945762371
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis	strategy	DT	-4.36420833333333	1.165298107875	38	38	0.000648056938263638	0.00829131671013773
PWY.5723..Rubisco.shunt	season	rainy	10.9222210526316	2.96473555433103	38	38	0.000770322056832559	0.00971275636875835
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	season	rainy	8.41777894736843	2.31249699717417	38	38	0.000871714006741173	0.0106815659980961
PWY.6703..preQ0.biosynthesis	season	rainy	8.83047368421054	2.42532740189138	38	38	0.000869718809245473	0.0106815659980961
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	strategy	DT	-3.79762111111111	1.04737173040158	38	38	0.000907343518787307	0.0109637341853466
ORNDEG.PWY..superpathway.of.ornithine.degradation	strategy	DT	1.7851745	0.494655765393255	38	38	0.000951462983487393	0.0113393533648497
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	strategy	DT	3.44913222222222	0.96958904405763	38	38	0.0010990643758929	0.0118047655188497
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	season	rainy	-8.75681578947369	2.4429448122581	38	38	0.00101866235415366	0.0118047655188497
P122.PWY..heterolactic.fermentation	season	rainy	1.25617157894737	0.352914397132692	38	8	0.0010926209876233	0.0118047655188497
PWY.1042..glycolysis.IV	season	rainy	5.37524210526316	1.50926437228287	38	38	0.00108631758036749	0.0118047655188497
PWY.5667..CDP.diacylglycerol.biosynthesis.I	season	rainy	3.11059052631579	0.871277932834013	38	38	0.00106042079575102	0.0118047655188497
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	strategy	DT	-2.50908021111111	0.703548043856774	38	36	0.00107179407873041	0.0118047655188497
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	season	rainy	3.11059052631579	0.871277932834013	38	38	0.00106042079575102	0.0118047655188497
REDCITCYC..TCA.cycle.VI..Helicobacter.	strategy	DT	-3.01634833333333	0.847078163052593	38	38	0.00108817459900111	0.0118047655188497
PWY.7084..nitrifier.denitrification	strategy	DT	0.39806205	0.112395543128902	38	12	0.00114817370473941	0.0121688974834615
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	strategy	DT	-2.18245682222222	0.616923940304153	38	36	0.0011609407943992	0.0121688974834615
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.	strategy	DT	-1.30554116666667	0.371320632841273	38	38	0.00123310523322144	0.0127714470583649
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	strategy	DT	-2.20088002777778	0.627500999390837	38	36	0.00126276545281794	0.0129247758111953
PWY0.1477..ethanolamine.utilization	strategy	DT	-4.324465	1.24615079445999	38	38	0.00139937704079304	0.0141564886684877
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	season	rainy	3.34495684210526	0.982956392925376	38	38	0.00168414873889882	0.0165746780215429
PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.	strategy	DT	-1.9942045	0.586205115546903	38	38	0.00168908250773585	0.0165746780215429
PWY.6594..superpathway.of.Clostridium.acetobutylicum.solventogenic.fermentation	strategy	DT	-0.863047327777777	0.25380085906983	38	23	0.00169557051024979	0.0165746780215429
P161.PWY..acetylene.degradation..anaerobic.	strategy	DT	-4.581455	1.35972467640383	38	38	0.00184614434248476	0.0178460619773527
UNINTEGRATED	strategy	DT	-7234.93888888887	2161.32612461151	38	38	0.00196005056562324	0.0185352607836111
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I	strategy	DT	-7.69539944444443	2.29765338021899	38	38	0.00195051650695063	0.0185352607836111
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage	season	rainy	1.11826568421053	0.336350663104337	38	16	0.00208523022251365	0.019299471208371
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	strategy	DT	-2.95178288888889	0.887455842253529	38	36	0.00207722038955048	0.019299471208371
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis	season	rainy	0.755026684210527	0.227838603465124	38	16	0.00214750141425607	0.0196665918989766
GALACTARDEG.PWY..D.galactarate.degradation.I	season	rainy	-0.562751789473684	0.17140641819163	38	38	0.00233387939734113	0.0207191334253753
GLUCARDEG.PWY..D.glucarate.degradation.I	season	rainy	-0.534092368421052	0.162614157236818	38	38	0.00232586620098516	0.0207191334253753
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	season	rainy	-0.562751789473684	0.17140641819163	38	38	0.00233387939734113	0.0207191334253753
PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II	strategy	DT	-1.92056033333333	0.586863403194079	38	25	0.00240142238439269	0.0211034088325418
FUCCAT.PWY..fucose.degradation	season	rainy	0.138418947368421	0.0426929568813875	38	7	0.00260639439803027	0.0226507372340298
PWY.6859..all.trans.farnesol.biosynthesis	strategy	DT	-0.972904777777777	0.300380750679653	38	38	0.00262956834555978	0.0226507372340298
PWY.7413..dTDP.6.deoxy..alpha..D.allose.biosynthesis	season	rainy	0.635145263157895	0.196613241978554	38	21	0.00269015497780058	0.0229454395165344
PWY.6215..4.chlorobenzoate.degradation	season	rainy	0.473731473684211	0.147198544281601	38	26	0.00277906079943142	0.0232479124567821
PWY0.1061..superpathway.of.L.alanine.biosynthesis	strategy	DT	-3.74378705555555	1.16210920252297	38	38	0.00275509437625965	0.0232479124567821
PWY66.367..ketogenesis	season	rainy	2.75249263157895	0.859738474772694	38	38	0.00290677081564256	0.0240846724724669
PWY.5741..ethylmalonyl.CoA.pathway	strategy	DT	-0.694373072222222	0.217396580985879	38	36	0.00296573885334146	0.0243414415321422
UNMAPPED	strategy	DT	7488.76666666678	2356.15704115227	38	38	0.00309239264733149	0.0247318427502304
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	season	rainy	5.41267368421053	1.70227351862829	38	38	0.00308175350079812	0.0247318427502304
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	strategy	DT	-3.09697055555555	0.974615931897567	38	38	0.0030985871951438	0.0247318427502304
PWY.3801..sucrose.degradation.II..sucrose.synthase.	season	rainy	2.82118684210527	0.898302359892054	38	27	0.00341975166964738	0.0268034590323713
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	season	rainy	4.73822105263159	1.50827746462998	38	38	0.00341156837631972	0.0268034590323713
PWY.7159..3.8.divinyl.chlorophyllide.a.biosynthesis.III..aerobic..light.independent.	strategy	DT	3.13816683333333	1.00264493387549	38	35	0.00351810086371551	0.0273281049235044
PWY.3841..folate.transformations.II..plants.	season	rainy	6.84454736842106	2.19304096047787	38	38	0.00360164370925748	0.0277294692659647
PWY.7820..teichuronic.acid.biosynthesis..B..subtilis.168.	season	rainy	0.347872315789474	0.112352573548235	38	18	0.00384539907349885	0.0293464666135439
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	season	rainy	0.416816473684211	0.136422013729011	38	11	0.0042824340935207	0.0321182116213568
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	season	rainy	3.82918421052632	1.25647490526105	38	38	0.00437075225143802	0.0321182116213568
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	season	rainy	3.82918421052632	1.25647490526105	38	38	0.00437075225143802	0.0321182116213568
PWY.6834..spermidine.biosynthesis.III	season	rainy	-0.438485789473684	0.143973157015868	38	38	0.00439318067004766	0.0321182116213568
PWY.7052..cyanophycin.metabolism	strategy	DT	-0.370521044444444	0.121477367536101	38	33	0.00434148885078662	0.0321182116213568
PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	season	rainy	0.938105052631579	0.31182097826328	38	9	0.00484082589593654	0.0345934616796142
PWY.5741..ethylmalonyl.CoA.pathway	season	rainy	0.652949736842105	0.217095268878515	38	36	0.00485103715507233	0.0345934616796142
